,serial_number,heading,reviews,country,date,verified
2160,2160,perhaps ba finally listening,first class flight london gatwick st lucia british airways first lounge gatwick refurbished temp replacement lounge offered no1 actually superior old ba one flight left time arrived 15 minutes early always pleasant surprise seats first may quite impressive airlines still comfortable spacious inflight entertainment good excellent selection movies two areas stood flight first exceptional cabin crew managed pamper constantly cater every need without overbearing importantly seemed genuinely motivated make experience board pleasant one next one believe saying food actually good indeed stark contrast previous flights cw first might fluke flown back business st lucia service food good perhaps ba finally listening customers,United Kingdom,2016-06-30,verified review
2161,2161,didnt really pay attention,flying club europe london city berlin tegel returning economy british airways outbound flight delayed nearly 1 hour however journey smooth enjoyable food offered ce cabin delicious flying back economy absolute nightmare everything went wrong checking lounge access baggage claim extremely poor service relating missing luggage done online check return flight went check counter drop luggage check agent offered paper boarding pass later discovered incorrectly issued checked someone else happens last name mine dropped luggage went business lounge silver member provided recepitionist paper boarding pass entrance declined surprising given fact gave wrong boarding pass however showed receptionist silver status mobile app didnt even look told membership downgraded system didnt investigate anything asked call ba didnt bother queuing passport control noticed destination shown boarding pass incorrect approached ba staff gate immediately cleared security ba staff shocked checked someone elses name wrong name wrong flight etc asked go correct gate immediately also told checked luggage wrong flight might back upon arrival lcy gave new luggage tag arriving lcy waited 20mins bag didnt show approached baggage claim agent phone explained situation didnt really pay attention asked stand next conveyor belt insisting luggage would arrive investigation rushed service bit rude 3 days later luggage still despite fact located luggage,United Kingdom,2016-06-30,verified review
2162,2162,let us sit inside 3 hours,british airways flight baltimore heathrow good connecting heathrow amsterdam disaster board passagers onto plane later find plane defect pilot engineers tried fixing problem let us sit inside 3 hours finally discovered couldnt fix took another 30 min let us back terminal us find solutions food 7 hours searching flight amsterdam got amsterdam luggage never loaded onto plane,Netherlands,2016-06-30,verified review
2163,2163,well worth money paid,flew economy class manchester johannesburg via london heathrow british airways flight manchester heathrow delayed 2 hours crowded waiting area paid extra emergency exit seats chosen departure available exactly 14 days flight well worth money paid emergency exit seats meant one sitting front either side us giving plenty room stretch overnight flight paid extra upgraded meals good quality well presented proper cutlery also served rest cabin enabling us stretch relax good entertainment system advantages premium economy without price service way back without prebooked meals available heathrow dont know available ways meal basically serve first class used virgin fly jamaica last 9 years going ba kingston hoping service good disappointment return connecting flight manchester quite long delay sat tarmac little explanation rude attendant husband enquired delay note ba customers accept delays explain least offer drink waiting especially early morning people connecting long overnight flights,United Kingdom,2016-06-29,unverified
2164,2164,reasonable inflight service,club europe flights london gatwick seville return outbound 2362016 return 2662016 outbound flight victim french atc strike british airways best keep us informed status flight warned us lounge gatwick closed used 1 lounge instead acceptable similar quality ba product would wished outbound flight scheduled departure time 1525 delayed 4 hours due combination 1 french atc strike 2 hours 2 blocked toilet aircraft 20 minutes 3 change seating configuration a320 allocated resulting 13 economy passengers bumped 45 minutes 4 ground crew push us back gate remainder pilot cabin crew best getting frustrated passengers took reasonable inflight service outbound return flight lounge seville warning ba reasonable inflight service slow baggage lgw surprise overall reasonable product feel still worth extra,United Kingdom,2016-06-28,unverified
2165,2165,crew superb professional,british airways lounge t3 busy shared aa others good selection nibbles beersspirits important clean staff constantly clearing guests left boarding far gate satelite area t3 around time boarding vancouver 747 boarding las vegas area congested announcements boarding barely audible outward bound flight uneventful great smooth trip ive ever inbound similar annoyance waiting stand lhr 40 minutes spoilt little ending crew ways superb professional business cabin pretty basic compared middle east carriers get good sleep food good lounge vancouver nice staff bright cheery great flights,United Kingdom,2016-06-27,verified review
2166,2166,fly british airways,london heathrow atlanta delayed flight made worse pilot assured us arrangements made connecting flight reality standing line 6 hours causing us miss flights airlines fly british airways,United States,2016-06-24,verified review
2167,2167,absolutely terrible service,flew marseille london absolutely terrible service flight delayed four hours checkin staff rude arrogant didnt explain delay plane clean one consolation pilot coming cockpit apologise delay offered opportunity passengers view inside cockpit money charge get better service elsewhere would recommend using airlines personally,United Kingdom,2016-06-23,verified review
2168,2168,seats narrow close together,los angeles rome via london british airways flight lax rome time generally good upgraded economy premium economy airport 382 tried upgrade ahead time frequent flyer points could booked costco costco said needed go thru ba ba said go thru costco boarding well organized flight london delayed difficult time finding go airport departures board list gate departure time kept changing one ba associate told us would probably leave gate 18 proved incorrect information finally asked attendant random gate looked ipad sprint back gate 1 15 minutes departure arrived gate told would bussed gate waited another 25 minutes buses seats fairly comfortable food okay small steak served cooked hard rock arrived rome almost 2 hours late coming home traveled economy decided charge upgrade way good value flight rome london late arriving made us almost hour late taking rome boarding chaotic couldnt understand announcements made board people turned back rather rudely ba staff everyone seemed confused snack board small tasty express serviced security london order catch connecting flight time catch snack use toilet boarding inprocess arrived gate sat tarmac hour could take seats narrow close together point person front reclined seat back seat close face go horizontalin order get seat use rest room arm rests seats end row lift entirely slide arm rests food pretty good board entertainment good service slow forcing sit extended length time tray squeezed front luggage extended vacation make flight london arrived 25 minutes late lax also take exception 90 luggage charge per leg trip 2nd bag 1st bag charge 380 round trip charge 2nd bag steep,United States,2016-06-21,verified review
2169,2169,could check luggage,wife used avios get two return tickets london heathrow johannesburg done business travel plans clear later booked separate ticket using cash return edinburgh london heathrow checked jnb told could check luggage edi two sectors different still ba tickets apparently rule quietly introduced british airways 1 june flights good want encourage two gold card holders use airlines going right way,United Kingdom,2016-06-20,verified review
2170,2170,british airways worst,flew british airways london heathrow bangkok standard food good lovely wine seat comfort leg room okay downside small tv screen back seats service terrible people represent uk travelled every airline bangkok back british airways worst,United Kingdom,2016-06-20,verified review
2171,2171,seat really comfortable,london heathrow newark return returned holiday flying british airways world traveller plus class thought would post review week flew paid £48 per person select seats comfort knowing would sat together flew t5 lhr one think one ba ’ new 787 newark 1035am plane interior looked new clean took seats 21 j k right next toilets seats found small pillow blanket headphones amenity kit plenty leg room ok 5 ’ 5 partner entertainment box impacting leg room seemed ok 5 ’ 10 although seats next toilets ’ get disturbed movement smells curtain pulled us world traveller ’ known bathrooms offered glass something fizzy – water juice also available hot towels handed menus handed main course choice beef chicken pasta salad start strawberry cheesecake dessert cheese biscuits food ok hot tasted good food service quick prior food served drinks handed including drink meal however food service another drink also offered three small bottles wine flight well way relaxing starting holiday ’ anyone behind us could recline seats without worrying disturbing anyone wall behind us ’ recline far back others comfortable enough luckily us people front us ’ really recline far seat really comfortable even generous back side felt plenty room although loaded tablet films books ’ use neither use vast choice ife – used 65hour flight time “ ” time partner found plenty choice enough watch flight food mood lighting switched stayed way hour landing people included took opportunity bit shut eye sandwich small chocolate bar tea coffee served quick freshen seat pilot announced would landing toilets would available another 20 minutes quickly brushed teeth freshen annoying number people decided almost full make toilets spending 10 minutes – whilst queue people waiting use facilities grew longer however toilets clean landing smooth arrived time – suppose would say 20 minutes early ’ airlines little trick appearing land early leaving plane look business class without offending regular business class users wonder exactly get money pods looked tightly packed together,United Kingdom,2016-06-19,verified review
2172,2172,overall pleasant flight,uneventful british airways flight gatwick porto take delayed 30 minutes due french air traffic control strike route flight changed avoid french airspace cabin crew helpful cheerful snack drinks provided quite adequate short flight seats reasonably comforatable legroom budget airlines ba prices competitive many budget airlines additional leg room becomes important flight arrived minutes late opo lost time made flight overall pleasant flight,United Kingdom,2016-06-18,verified review
2173,2173,handled difficult situation professionally,newcastle las vegas via london heathrow heathrow las vegas 3 groups men extremely loud unruly particularly challenging attendants opinion handled difficult situation professionally totally run ragged passengers total disgrace well done ba staff really well,United Kingdom,2016-06-18,unverified
2174,2174,passing economy seats business,travelled ba 633 athens 12th june 2016 flight departed 755 pm sat tarmac 30 mins due bad weather london nonetheless got 15 minutes late went wrong beginning check process showed early refused check club europe ground attendant athens incredibly rude abrupt explained us nicely would fine result two hour flight check resulted chaos long lines given fact 767 – larger usual plane finally lined took good 30 minutes check club europe half time one counter open eventually second counter opened young couple jumped queue using excuse pregnant unheard policy perfectly healthy given fast rushed allowed ground atttendants despite long lineup eventually got plane find ridiculous two tier business class system stretched economy section without separation kind seating became problematic assigned windows side smaller spaces fact bigger economy class middle seats fine passengers empty middle seat british airways passing economy seats business though service different – ’ properly enjoy placed last row business class 14 three seats stretching economy class cabin confusing crew tried serve economy class food end fair think business class passengers unfortunate seat assignments furthermore asked blanket refused one basis none walked upper cabin found business class passengers blankets fair principle seat assignment use last ba trips europe nightmarish boarding processes one athens chaotic unsystematic allowed everyone rush forward thus blocking preboarding process assigned different seats far according preferences exec club online checkin keeps breaking tell ba tell us call laugh hysterically fact frequent flyer high profile worse treatment get also get sense communication crew poor given different services offered later cabin director told could find blanket already 30 mins landing blame crew work get knew going treated better economy would booked economy,United Kingdom,2016-06-18,verified review
2175,2175,service simply terrible,april husband booked business class seats bermuda london british airways flight cancelled rebooked next day premium economy date two months later refund compensation gold card members fly london business class 1214 times year service customer relations absolutely unbelievable last september glass foot flight bermuda london result flight crew dropping drinking glasses cleaning properly compensation british airways monopoly flights bermuda london service simply terrible really bothers one cares british airways idea lodge complaint,Bermuda,2016-06-17,unverified
2176,2176,customer service worst going,think british airways customer service must hold accolade worst going achievement booked flight alicante gatwick immediately selected paid seats row 4 cost €23 came check online 24 hours flight found moved row 30 back plane selected change seat row 4 even displayed 64 years old back problems make quite difficult struggle back plane reason always happy pay seats near front never experienced problem airlines received notification ba tell changed seating received money back waiting board plane received text message survey ba experience far participated gave summary situation also agreed could contact still nobody got home gave ba one day contact submitted complaint website days got reply saying would like claim refund prepaid seating charge ’ happy see ’ eligible complete following form within 14 days flight think another time supplier taken money failed deliver informed automatically refunded money ba claim refund wait check eligibility family take many flights year including long hauls asia needless say none ever british airways,United Kingdom,2016-06-17,verified review
2177,2177,staff friendly professional,new york jfk london gatwick british airways excellent flight left less time even interminable taxing jfk still arrived time london gatwick flight busy service didnt suffer staff friendly professional b777 clean excellent condition couldnt ask return flight outward flight good credit british airways woman near terriifed flying one flight attendants sat landing poor woman sick due bit turbulence landing attendant dealt pefectly booked week flew price good decent offering entertainment considering economy class downsides none think,United Kingdom,2016-06-17,verified review
2178,2178,uncommon occurrence,beginning year booked 4 first class seats londonkansas usa husband son 84 year old mother attend wedding time also booked wheelchair assistance mother walks stick walk long distances check wheelchair called one time arrive told would quicker walk security great effort mum security told check staff validated tickets correctly walk back walk back security security nightmare despite fact mother doctors letter stand hands raised body scanner taken two staff members side room wanted detailed search complained supervisor told would boarding flight didnt keep quiet completed walked long journey lounge requested chair take mother plane arrived told could accompany would transfer buggy pick passengers went boarded said would meet flight called final passengers tearful mother finally arrived staff taken wrong gate told want miss flight would walk talking cabin crew said uncommon occurrence spent thousands flights booked assistance checked checked pre flight would issues staff didnt care saw mum nuisance usa service brilliant never security asked mum get wheelchair stand body scanner allowed accompany way add insult injury flight back half tv sets didnt work even safety talk manually husband never got inflight dinner 2 hours sign told forget wanted sleep mum refuses fly ba wasnt fact many points numerous flights already booked husband children coming year would transfer business virgin carriers complained ba yet response,United Kingdom,2016-06-16,verified review
2179,2179,flight late chaotic,alluded haves havenots ba flights terms customer service assure case gold executive club member confirm invariably treated equal levels contempt customer levels executive club cabins last experience wife flying london gatwick faro 18 may 2016 checked first counter economy flight told apparently gleeful ba employee plane rammed knew would uncomfortable flight lounges available whilst ba lounges renovated packed filthy ba lounge greeter offered apology ’ access clubrooms full flight late chaotic group loud boisterous men virtually running economy cabin roaming cabin whilst seatbelt signs raiding galley return clutches mini wines spirits resulted wife told run gin tonic turned lie purser emerged club serve one passengers gt tray returned home 10 days later complained received jumbled response cancelled non essential flights future including high yield club world flights use forced ’ seem care good luck,United Kingdom,2016-06-16,verified review
2180,2180,book anyone ba,british airways randomly cancelled flight two weeks departure athens london means miss wedding booked 3 months ago gold card holder connecting flight buenos aires ba regardless put flight would missed connection subsequently put flight actually impossible connect island said rebook need repay thanks ba looking gold card holder well highly recommend book anyone ba shortfall better easyjet ryanair cheaper better treat gold card holders 5 confirmed business bookings way good luck economy travellers embarrassed called gold card member cancel flights commercial reasons two weeks care consequences long term clients,United Kingdom,2016-06-16,unverified
2181,2181,choice,domestic ba london edinburgh return check t5 bit shambles line check appeared pretty long ques security pretty quick although boarding lengthy via prolonged bus trip onboard flight delayed around 20 min otherwise okay service flight arrived 10 minutes late return check quick security flight delayed 20 min boarding quick new looking a319 seat exit row comfortable service polite snack served arrived lhr time aircraft although bags took around 30 min arrive belt use choice,United Kingdom,2016-06-16,verified review
2182,2182,good experience,las vegas london heathrow return good experience british airways flights incredibly hot stuffy unlike anything ive ever experienced flying airline tend run cold usually need sweater planes uncomfortably hot whole time husband passengers sitting near also commented stuffy staff return flight rude passengers nice select definitely got impression either airline youre dont even bother expecting courtesies staff people sitting next complaint took 3 hours staff member address return flight asked paying upgrade seats told full flight wouldnt able passengers receiving complimentary upgrades others downgraded thought odd would giving free upgrades meant downgrading passengers paid better seats even odd passengers didnt know theyd downgraded got plane group passengers got plane went seats find werent economy plus seats theyd paid reserved regular coach seats paperwork showing theyd paid economy plus wasnt error part told full flight could get plane wanted couple passengers group elderly paid economy plus elderly lady group medical condition blood circulation needed extra leg room poor old lady spend least half 10 hour flight standing aisle boarding process las vegas smooth boarding heathrow joke staff made one announcement must speaker turned barely audible result one knew supposed go people standing wrong lines basically place made boarding take forever entertainment selection sub par long flight decent movies much else thought food decent served plenty food drinks flight,United States,2016-06-15,unverified
2183,2183,good selection food drinks,wife flew dublin london heathrow business class avios upgrade british airways used lounge terminal 5 good selection food drinks delayed leaving hour technical reasons salmon salad couple drinks hour flight good value almost free upgrade would pay normal price short trip,United Kingdom,2016-06-14,unverified
2184,2184,cabin crew excellent,good flight back london barbados bridgetown barbados small airport ground staff friendly efficient exec lounge good reasonable snacks given time day midlate afternoon decent selection drinks available aircraft clean looked club world cabin recently received tlc entertainment system excellent good choice movies clear screen doubt part overall attention cabin seemed given bar service good food tasty good portion sizes cheesecake dessert almost much night flight crew got bar food service completed early flight allowing passengers get sleep lights came back breakfast breakfast good cabin crew excellent friendly efficient cockpit crew clear concise comms start end trip previous flights taken lgw shown noticable difference cabin interiors compared flights form lhr good see lgw fleet getting needed enhancements,United Kingdom,2016-06-14,verified review
2185,2185,staff extremely unhelpful,london heathrow miami british airways awful experience changed flight morning flight evening flight way refused refund difference put cheaper flight cancelled return flight without informing us spend hour final evening holiday speaking advisor plane way old many tvs broken uncomfortable staff extremely unhelpful never use ba ever,United Kingdom,2016-06-14,verified review
2186,2186,every flight huge problems,every flight took british airways two vacation 4 flights huge problems always delayed ny 5 hour delay line computer glitch handwriting boarding passes another leg check botched issue stand rude employee botched kept trying call manager never picked 30 minutes held long line checkins heathrow tired ready way home already 1 hour delay explanation read british airways turn plane around morning due engine issues,United States,2016-06-12,verified review
2187,2187,really downgrade experience,positive post outbound journey return philadelphia london heathrow reminded inconsistent british airways become boarding told 5 f passengers actually cabin full presumably upgrades though supposedly cabin overbooked really downgrade experience fare paying passengers good greeting though csd never speak passengers far could see sleeper suits amenity pack seat boarded rather usual personal offer passenger pre departure warm champagne served last drink offered bottle water breakfast eat told since sleeper service eat ground little crew presence cabin night awake good part poor value money occasion,United Kingdom,2016-06-12,unverified
2188,2188,attention detail lacking,17th may reviewed british airways 777200 flight bangkok london great 310 score given changing return flight opted travel a380 singapore pleased say overall experience excellent premium economy product aircraft fantastic seat pitch entertainment unit overall comfort good food ok think attention detail lacking polish product 1st meal receive metal cutlery yet second meal plastic minor negative crew ok job love a380 layout premium economy upperdeck,Australia,2016-06-11,verified review
2189,2189,food appalling,would disappointed indeed paid full fare business class ticket food appalling could hardly get two mouthfuls starter main course beef hard tasteless small compared business class meals say cathay pacific qatar airways portions starter main around 50 less incredibly british airways serve mean meals business class transatlantic route make money hungry meal later decided raid larder sweet generally avoid menu states would yoghurt stuff available fas embarrassed got cheese plus excellent service good selection ife comfortable enough seats larger pillow would although hate climb someone get seat british airways revamped iberia merged iberia much better business class product,United Kingdom,2016-06-11,verified review
2190,2190,poorest seating arrangement,flew british airways singapore sydney unfortunately poorest seating arrangement experienced six different airline business class flights face face stranger though seats went flat sleeping narrow addition flight attendants seemed disinterested ba business class lounge singapore excellent,Australia,2016-06-10,unverified
2191,2191,crew friendly efficient,everything british airways flight london gatwick paphos excellent checked airport day took 5 minutes day fast track security minutes lounge read reviews must struck lucky sat library oasis calm service bar prompt food good good old ba lounge better boarding quick efficient took minutes late crew friendly efficient drinks service good food choices tasty landed time passport baggage within 20 minutes great start holiday,United Kingdom,2016-06-09,unverified
2192,2192,service fine underwhelming,decent flight business barcelona heathrow british airways extremely helpful pleasant crew served decent breakfast two hour hop arrived terminal 3 transfer service first class passengers terminal 5 security screening insanely chaotic due delays security fact a380 flights leave bc piers 10 minutes lounge first class a380 service fine underwhelming compared carriers nice crewbut decent food service wifinot worth money,United States,2016-06-09,unverified
2193,2193,excellent cabin crew,st lucia gatwick british airways checked line dropped luggage quickly security lounge small quite comfortable nice lady serving drinks bar asked could make rum punch despite causing small queue happily made excellent cocktail boarding well organised flight departed time board extremely well looked staff professional able find time chat make wife feel comfortable wine choices explained well offer tasting bottle dinner plentiful exciting numerous glasses wine helped make enjoyable experience landed time brief scare pilot said due french air traffic controllers strike may delay parking plane soon disembarked luggage hall within around 25 minutes luggage arrived quickly soon way home overall good flight thanks main excellent cabin crew,United Kingdom,2016-06-08,unverified
2194,2194,delay likely,arrived gatwick 0730 catch 1000 flight st lucia check fine although security tight airside 0800 breakfast checked flight information screen indicated departure gate would available 0900 tea toast checked 0900 board indicated departure information would available 1000 obviously first time alarm bells start ringing plain see going delayed screen information changed say departure details would available 1100 point venture british airways information desk queue around fifteen people gave sat 1200 screen info finally said new departure time 1400 time add time information screen made available passengers regarding flight details refreshments etc despite numerous announcements easyjet airlines ba conspicuous silence eventually notified gate number first time told entered departure area reason delay apparently problem cargo door decided needed replaced despite rather cramped departure area everyone seemed ready board told repairs complete would delay passengers wanted stretch legs could leave boarding passes ground staff leave departure area eventually boarded 1430 everyone settled seats pilot apologised said repairs still hadnt completed delay likely eventually departed 1530 delay five half hours know stuff happens lets forget departing one bas home airports couldnt second plane available quicker five half hours anybodys guess various people writing online forums previously spoken holiday routes gatwick dumbed ba favour traditional business routes flying heathrow idea whether true would ask one question flight morning flight heathrow jfk would ba found solution quicker air flight fine nothing special nothing bad would acceptable without delay,United Kingdom,2016-06-06,verified review
2195,2195,mediocre service,mediocre service airline flying london heathrow stuttgart expected given prior flights checkin process fine heathrow security went first class lounge south side heathrow terminal 5 lounge air conditioning hot fairly warm day outside made quite uncomfortable hot food selection poor everything liquid based looked unappetizing bland sandwiches available well lounge beautiful large room really let lack good food service boarding process seamless gate plane recently renovated seats highly uncomfortable little legroom available youre taller 511 youre knees likely touching seat front food offering limited small bag chips offer one drink flight attendants courteous didnt really go beyond minimum inflight entertainment wifi whatsoever available really disappointment given many airlines installing overall trip fine onboard lounge experiences could improved,Germany,2016-06-05,unverified
2196,2196,good fare sale,man lhr personable crew breakfast service efficiently concorde room fine crowded saturday morning smooth boarding friendly reception guide seat experienced crew interacted passengers full cabin service expected though initial drinks perhaps little slow coming food fine selection wines despite late departure arrived time relaxed enjoyable journey good service also good fare sale last month,United Kingdom,2016-06-05,unverified
2197,2197,slowed process,london bucharest british airways flight slightly delayed wasnt impressed boarding process full flight passengers carried one piece cabin luggage took time passengers find space store luggage slowed process also impact speed getting plane arrived bucharest stricter cabin luggage allowance 3 hour flight served hot meal food good enough survive 3 hour plus flight,United Kingdom,2016-06-04,unverified
2198,2198,would expect,shambolic checkin new york jfk following introduction new computer system british airways long queues subsequently caused delays flights uk lots managers milling around anything useful attempt made keep passengers informed reason delays flight london heathrow fine bas business class would expect surprises particular high points patch service cathy pacific,United Kingdom,2016-06-04,unverified
2199,2199,flight booked,booked flights british airways rather budget airline thought would reliable returning overnight flight dominican republic transfering domestic flight ba arrived bas check desk 6am 9am flight hoping drop bags relax take arrived check advised flight booked would go stand asked advised manager airlines check small print stated flights bought paid 6 months previous wanted know ba could sell seats manager kept repeating company policy manager stated stay stand things turned get stand seats last minute appalled way handled using buyer beware,United Kingdom,2016-06-03,unverified
2200,2200,let standards slip,london heathrow miami british airways used husbands miles plus money book flights miami kids packs given plane dated entertainment system shocking small screens films programmes advertised website flight kids 3 films choose forgot load previously selected kids meals kids went hungry apology offered food awful service good friendly found flight virgin atlantic previous year far superior updated 747s overall poor indeed would chose fly ba let standards slip considerably,United Kingdom,2016-06-03,unverified
2201,2201,little advantage using ba route,london gatwick lima british airways recently introduced nonstop route offers reasonable price club class add seat reservation charge added £68 seat way overall charge sat tarmac 25 hours gatwick waited someone senior sign repairs fault return journey flight took 1 hour late explanation arrived gatwick stood 1 hour luggage appear flights around us arriving later collected little advantage using ba route could gone existing routes madrid little hassle flight comfortable staff pleasant food mediocre,United Kingdom,2016-06-02,unverified
2202,2202,attendants polite,flew british airways new york jfk london heathrow comfortable seats ive ergonomic plane clean clear screen nice selection music tv shows recent movies easy navigate also enjoyed multiple views flight overhead map mock pilot screen attendants polite dinner served quickly food good ive air france flights definitely try book future trips,United States,2016-06-02,verified review
2203,2203,better service easyjet,hiatus almost 20 years heathrow inverness route reinstated may 2016 last years travelling inverness geneva using easyjet via gatwick thought would interesting see ba compares budget rival travelling north scotland overall would say particularly favourably bagdrop checkedin online go bagdrop however one agent desk dedicated economy passengers versus 3 agents business passengers ba bagdrop geneva slow painful experience slower recently experienced easyjet geneva boarding geneva fairly smooth better worse easyjet inflight staff friendly efficient however complimentary breakfast ham cheese croissant could best described awful croissant name given price premium overall opinion ba providing sufficiently better service comparison easyjet considering price premium two airlines,Switzerland,2016-05-31,verified review
2204,2204,disappointing experience,flew british airways 7 hour flight dubai london economy tiniest tv screen seen last 10 years small squint time make going resolution terrible irritated eyes screen little crosses must ancient plane movie selection old given watched movies 2 months earlier nothing currently cinema one meal asked additional food snacks form chocolate bars biscuits also allowed sparkling wine ridiculous tap business class staff seemed irritated time especially lady business class welcomed us disappointing experience,United Kingdom,2016-05-31,verified review
2205,2205,ba falls presentation,going grain somewhat say truly prefer flying british airways emirates london heathrow dubai route tried airlines several times definitely going side ba one firstly ba offer really competitive prices route happen avios tucked away flight real steal secondly lhr ba really best terminal okay terminal 3 emirates isnt worst terminal world much prefer terminal 5 spacious light good dining options aircraft well choice choosing passenger pleaser a380 retro classic b747 ill happily fly either although even refit 747 still showing age economy passenger found product british airways perfectly reasonable seat pitch average seat comfort average ife screen size average get choice latest blockbusters options emirates huge ife thousands films choose slightly better seat width pitch however ive also wondered appeal choosing thousands films interest watching id rather take ipad preloaded films actually want watch lack wifi isnt huge concern hopefully gogo 2ku product ba installing 2017 robust catering economy passenger im expecting much last flights ba pleasantly surprised food edible also really quite tasty ba falls presentation quite frankly awful also little extras notice predinner drinks service coffee tea offered throughout cabin real cheese crackers finish meal opposed soft cheese im 5 years old ba also get substantial snack prior landing little tuck box far generous emirates economy offering ive found crew hit miss fairness ive found treating crew friendly warm manner expect treated normally brings best recent newspaper deal murdoch empire nice touch along daily hate newspapers choose also get times sun financial times complimentary options arrivals ba dxb bit nightmare terminal 1 immigration something else journey runway stand epic however new concourse departures really nice blingy overall pleasant flight would happily fly ba,United Kingdom,2016-05-30,verified review
2206,2206,seat comfortable,impressed world traveller plus experience british airways london heathrow san francisco obviously new aircraft ba seat service experience really good much pleasant economy flight window seat benefited extra space afforded location storage cabinets underneath windows seat comfortable situated upper deck a380 quiet plane travel enjoyed couple movies large screen great sound via supplied noise cancelling headset food pretty good alcohol freely served negative experience turned back priority boarding lhr even though ruby status ba ground agent little condescending way handled honest course felt embarrassed front passengers signage priority boarding lane clearly indicated ruby travelers benefit priority boarding 10 year qualifying gold card holder british midland ba chosen recognise frequent travelers achieved status decade loyalty airline bought claiming lifetime member status executive club however believe something fact offer reduced score 810 otherwise full marks,Philippines,2016-05-29,unverified
2207,2207,overall negative experience,flew british airways gatwick punta cana begin ill start check gatwick checked online expecting relatively simple baggage drop wrong could 4 desks servicing every flight arrived airport 4 hours scheduled departure time spent 3 baggage drop queue due slow service many passengers getting called forward jump queue miss flight staff desks looked thoroughly miserable spent time talking dealing customers security checks surpsingly efficient due time taken drop bags time visit shops go straight gate despite arrived 4 hours early onboard aircraft things improved little food good crew attentive however ife dated gatwick based 777s screen kept jumping every 34 seconds stopped functioning completely hour flight crew tried reset system reset longer option choose watch could watch old style video loop wouldnt problem fact paid extra £38 top ticket price choose seat overall negative experience cant fault cabin crew inflight service,United Kingdom,2016-05-27,unverified
2208,2208,thoroughly pleasant flight,flight gatwick bermuda 777 british airways aircraft clean reasonably comfortable cabin crew friendly attentive 6ft tall normally problems leg room offered economy aer lingus im talking ample leg room indeed walking premium economy club world exiting aircraft didnt notice big difference leg room havent flown ba quite years vague memories inflight meals particularly shoddy time though meal reasonably nice chicken korma fiancée complaints either pasta dish crew round regularly complementary soft drinks well snacks glasses water pure orange ife good selection though one gripe positioning controls small controller built top arm rest controller controls ife well reading light call button accidentally pressed light call button elbow shifting position small gripe quite annoying another gripe adverts sit starting watch new selection continental virgin couple years ago dont believe sit adverts watching movie tv programme overall aside small ife issues thoroughly pleasant flight,United Kingdom,2016-05-27,verified review
2209,2209,nice crew good food,london calgary hard know quite makes 787 comfortable less dry air quieter bigger windows service good ife excellent cut older systems ba flights nice crew good food drink complaint lunch served 4pm london time followed tea midnight tea take dinner say 8,United Kingdom,2016-05-26,unverified
2210,2210,wish id never upgraded,warsaw heathrow check open 2 hours wanted shop eat british airways one could see late check dont bother business class wont gain much time flight making lounge waste time need earlier check wish id never upgraded,United Kingdom,2016-05-26,unverified
2211,2211,systems place cope,milan malpensa london heathrow british airways 125 hrs standing queue check due new system installed last month running slow extra staff cope plane cancelled 30 mins time due technical issue systems place cope size needed done everyone reclaim baggage exit via passport control queue service desk rebook unbelievably desk staffed one person people onward connections given priority journey could replanned took 10 15 mins process line 100 people waiting behind thus time one person served another prioritised front queue meaning queue effectively moving 3 hours later third queue still standing line waiting processed selfdiscipline queue prevented descending total chaos two terminals onward travellers could dealt separately simple needs seating queue management system pathetic response must occasional problem represent recheckin via slow new system go security mercifully top class passport control evening flight whod queued longest stayed hotel travel next day meal vouchers offered compensation details offered tho given asked,United Kingdom,2016-05-26,unverified
2212,2212,adequate,first longhaul british airways 15 years bought good price direct bangkok london heathrow seating 333 343 boarding efficient departure ontime meals typically british notably using british brands dishes acceptable ife movingmap touch oldfashioned clunky small screen limited selection still adequate seatfoam thin movements passenger behind could often felt irritating cabincrew 12hour full flight hardworking would use airline right price,Thailand,2016-05-25,unverified
2213,2213,boarding painfully slow,flew ibiza gatwick british airways massive slow moving queue ibiza 1130pm good start announcement delay plane took 45 minutes late boarding painfully slow late night flight refreshments good excuse save money guess people prefer sleep flight busy compared totally full outbound flight days return ticket costly,United Kingdom,2016-05-25,unverified
2214,2214,one favourite airlines,london paris cdg business class british airways always one favourite airlines however points really bugs business class check counter queue longer comparison counter eg economy terminal 5 security fast track queue also longer,United Kingdom,2016-05-24,verified review
2215,2215,exception british airways,every airline offers business class travel assign seats booking flight exception british airways january 2016 booked flight two passengers ba business class san francisco london back travel mayjune seats business class assigned 48 hours flight time however comes another ba first want choose seats time paying extra fee ended shelling 484 privilege selecting two seats return flight top steep fare charged travel business class ’ begrudge airlines extra profits price fuel takes massive drop airline also engages tactics described order maximize profitability rebel,United States,2016-05-24,verified review
2216,2216,unexpectedly served breakfast,london city isle man ba cityflyer operated eastern airways saab 2000 aircraft codeshare agreement checked line got boarding card sent ba app came boarding 14 us booked flight required tinkering ground staff enable aircraft balance result 10 14 passengers got given new seats fortunately got keep 11a flight time 55 mins unexpectedly served full cooked breakfast female member cabin crew efficient,United Kingdom,2016-05-23,unverified
